[1580,WrappedArray([640,5.7868204], [1341,5.7727046], [5072,5.496954], [2441,5.4852257], [3254,5.360487], [5379,5.3576975], [1751,5.2752166], [283,5.260925], [2867,5.2539496], [41,5.2097774])]
[3000,WrappedArray([3856,7.068699], [1341,6.853541], [640,6.820657], [1456,6.783586], [2093,6.3233223], [41,6.305175], [68,6.2739177], [5642,6.2667065], [1840,6.1982903], [3725,6.0945764])]
[31,WrappedArray([89,7.021962], [2441,6.9663873], [5297,6.394765], [4660,6.378978], [6031,6.3069997], [2884,6.2790165], [1485,6.216738], [5606,6.055995], [3549,6.0281525], [1070,5.9584064])]
[2711,WrappedArray([589,13.742486], [2977,12.78413], [1394,12.76682], [1083,12.124018], [2151,11.490446], [1914,11.303548], [2432,11.279501], [1829,10.819538], [5642,10.632111], [1416,10.159477])]
[2821,WrappedArray([112,6.7789454], [2269,6.6293716], [4383,6.6091056], [2930,6.4494176], [4,6.4366317], [1475,6.222265], [1829,6.1939335], [3359,6.1674633], [5346,5.9692664], [947,5.957174])]
[3761,WrappedArray([2441,8.291797], [4074,8.200679], [2763,8.052566], [1198,7.880774], [5816,7.7363605], [559,7.6495504], [5882,7.5829973], [87,7.546017], [4142,7.228184], [4008,7.083863])]
[1322,WrappedArray([5328,9.058833], [745,7.606457], [540,7.0911326], [4056,7.0767207], [3222,6.792783], [775,6.695338], [3076,6.6679354], [5756,6.5427947], [1307,6.4628487], [5297,6.2606764])]
[1352,WrappedArray([3222,7.8530965], [4056,7.5423665], [745,6.826689], [4392,6.803418], [5756,6.7353654], [128,6.700962], [5863,6.634199], [4850,6.514824], [5867,6.3475137], [5635,6.24402])]
[2572,WrappedArray([5642,6.432487], [4199,6.2602344], [2441,6.0741305], [153,5.9188404], [41,5.785664], [4427,5.7272353], [1596,5.63305], [2139,5.6072254], [2151,5.593019], [1341,5.5863943])]
[3352,WrappedArray([947,5.4416], [2134,5.150823], [4358,4.844765], [5515,4.831749], [4256,4.6487107], [4317,4.6449943], [3844,4.548302], [112,4.508907], [1445,4.491878], [3463,4.4329567])]
[1303,WrappedArray([2640,6.8242846], [1277,6.6135573], [1341,6.3375783], [5078,6.332995], [4175,6.3184133], [3714,6.2823524], [4996,6.242476], [5075,6.1914454], [527,6.140066], [3573,6.1341376])]
[1903,WrappedArray([1914,11.531299], [364,11.136965], [2549,11.120022], [2252,10.905133], [3642,10.646162], [2686,9.934594], [5303,9.474102], [365,9.462735], [2358,9.430082], [4325,9.270937])]
[2393,WrappedArray([89,5.970935], [5072,5.648882], [2441,5.466036], [6031,5.391031], [4583,5.323694], [1277,5.2994413], [5849,5.286584], [5560,5.285123], [4143,5.282922], [4672,5.243823])]
[3213,WrappedArray([2441,5.781188], [1341,5.4823966], [3932,5.4276943], [41,5.358557], [2930,5.250796], [1862,5.2008214], [2755,5.192492], [3856,5.131643], [4178,5.091174], [2128,5.019554])]
[3704,WrappedArray([4997,5.1547036], [4191,5.107676], [3009,5.102718], [4439,4.9410114], [5052,4.9203386], [3587,4.80854], [2274,4.770499], [3222,4.7613845], [1588,4.740724], [1385,4.714508])]
[516,WrappedArray([5328,6.2977543], [3222,6.232858], [2364,6.097595], [2502,5.8668346], [1282,5.7484837], [75,5.687088], [1145,5.6466703], [4974,5.6431417], [5642,5.629021], [1881,5.592524])]
[2776,WrappedArray([5328,10.597486], [1445,10.198487], [1083,9.792418], [1226,9.333622], [2707,9.292485], [3480,9.273069], [882,9.167453], [5119,9.024637], [4358,8.965904], [870,8.828752])]
[2996,WrappedArray([2549,8.431335], [1014,7.7178187], [2821,7.584234], [5590,7.19322], [3642,7.1116867], [4974,6.8901324], [144,6.798644], [2721,6.4513707], [4594,6.41713], [5010,6.407925])]
[3488,WrappedArray([407,7.9351707], [1907,7.421131], [2539,7.2393665], [4427,7.134649], [1014,7.058735], [4974,6.9876356], [3645,6.8855276], [3805,6.710579], [3857,6.605976], [1460,6.5353446])]
[1139,WrappedArray([283,5.3851533], [3222,5.341383], [5756,5.261148], [3856,5.177823], [2339,5.1769667], [128,5.1314025], [3296,5.12502], [452,5.073386], [336,5.0628934], [1307,5.038979])]
[1339,WrappedArray([5141,6.222677], [5243,6.070348], [3772,6.0402308], [4583,5.960492], [4166,5.819866], [4191,5.8093543], [1277,5.8074427], [395,5.7346215], [4135,5.7142296], [5052,5.6665397])]
[1699,WrappedArray([4751,9.97489], [2640,8.749234], [866,8.16426], [153,8.073959], [4383,7.7791266], [2713,7.442105], [2037,7.4177885], [4565,7.400894], [3144,7.344799], [5027,7.2126417])]
[580,WrappedArray([2640,6.7958593], [4751,6.5173635], [4565,6.500807], [4672,6.2813168], [3144,6.113667], [2713,5.85204], [527,5.7915564], [1414,5.737305], [296,5.6430836], [399,5.5991507])]
[3220,WrappedArray([2441,3.2282755], [2160,2.7400582], [6031,2.5976903], [3254,2.5293021], [4504,2.5154524], [3932,2.5015345], [640,2.4665704], [1751,2.458709], [5830,2.456436], [494,2.45333])]
[3490,WrappedArray([4751,14.611175], [4383,13.815174], [3144,12.010259], [2920,11.87072], [4419,11.177261], [5290,10.542487], [2640,10.417195], [3627,10.332226], [2037,10.304703], [908,10.128448])]
[251,WrappedArray([407,11.500543], [614,11.427115], [4056,10.346775], [1541,9.419527], [5258,9.413073], [4358,9.324123], [3805,9.301428], [3222,9.172995], [4683,9.134629], [741,8.970302])]
[451,WrappedArray([1445,5.916409], [5258,5.5644054], [3222,5.54312], [5328,5.4403663], [1098,5.4031525], [407,5.3698735], [5756,5.308465], [269,5.3052006], [3856,5.271243], [128,5.173527])]
[2231,WrappedArray([5328,6.4448338], [5756,6.180734], [3222,6.119026], [1307,6.0542703], [540,5.9652376], [2339,5.9438252], [4056,5.905677], [4028,5.8827434], [2297,5.871915], [3076,5.868733])]
[2721,WrappedArray([527,9.151221], [378,9.041855], [2441,8.266468], [206,8.242352], [4936,8.198192], [153,7.890099], [3235,7.796051], [89,7.787962], [296,7.719087], [5849,7.552277])]
[2443,WrappedArray([2549,7.1274405], [1914,6.696493], [364,6.441495], [2252,6.4286947], [2432,6.1601677], [2358,6.1591535], [3969,6.1128416], [440,6.0649943], [365,5.9566116], [5666,5.943678])]
[2923,WrappedArray([3222,8.948995], [3480,8.215415], [1332,8.141816], [1226,7.9236174], [269,7.884907], [4244,7.866199], [5681,7.8533387], [128,7.617384], [3165,7.518604], [4191,7.4260836])]
[1884,WrappedArray([5141,7.4241624], [4256,7.218625], [4996,7.161005], [3844,7.0299587], [2134,7.0193124], [2037,6.961326], [5243,6.921311], [665,6.90035], [4191,6.694513], [589,6.67238])]
[85,WrappedArray([540,6.756101], [5756,6.4704328], [5328,6.325548], [4056,6.28805], [2297,6.2655296], [1596,6.2648687], [3076,6.217218], [1307,6.029716], [5274,5.9730287], [491,5.965448])]
[1265,WrappedArray([1341,6.0860777], [878,5.974816], [407,5.8137736], [1541,5.6793203], [3805,5.5854616], [3856,5.569114], [4069,5.5417676], [1927,5.4984984], [1269,5.439818], [4254,5.428348])]
[1975,WrappedArray([206,6.7290964], [4392,6.640543], [4703,6.480296], [708,5.9929843], [1237,5.9690547], [745,5.9073706], [3723,5.89129], [1610,5.8301587], [290,5.7206416], [2530,5.7166085])]
[2025,WrappedArray([2920,6.1108003], [870,5.9042315], [1864,5.647821], [4358,5.52778], [5245,5.438273], [1452,5.338429], [5328,5.272702], [4424,5.220686], [3915,5.213024], [1270,5.1866918])]
[2525,WrappedArray([5004,5.901484], [4158,5.820321], [4997,5.6769466], [5525,5.578722], [947,5.3811197], [1394,5.3593974], [3009,5.3113217], [2494,5.1805024], [4399,5.1461554], [1864,5.1453977])]
[3796,WrappedArray([206,8.98497], [1098,7.5501585], [784,7.5291333], [5814,7.4879146], [5803,7.470421], [5597,7.3846207], [378,7.188558], [2530,7.0989575], [353,6.9057727], [4056,6.8654776])]
[3876,WrappedArray([206,5.2169785], [2441,4.78094], [4936,4.546332], [290,4.4490914], [4383,4.0451794], [3235,4.039623], [4023,4.0053988], [1327,3.791934], [378,3.7098792], [5919,3.6743937])]
[137,WrappedArray([1808,10.824904], [5944,9.930348], [642,9.363743], [3144,9.289521], [4565,9.286965], [5993,9.2479515], [2033,9.116943], [4202,8.962708], [2044,8.747578], [4441,8.733563])]
[808,WrappedArray([3222,6.247806], [642,6.2066536], [5258,5.80456], [5072,5.7619195], [5856,5.583659], [5863,5.555361], [478,5.54009], [4246,5.4883366], [2697,5.488163], [128,5.449561])]
[2488,WrappedArray([4751,9.402495], [2640,8.440258], [866,7.8845334], [4565,7.642733], [3545,7.4324827], [4383,7.4224763], [2075,7.311495], [2713,7.246285], [3144,7.2349114], [650,7.2270846])]
[2748,WrappedArray([4191,5.3795156], [4583,5.1307373], [3222,5.0056705], [5052,4.8662987], [5243,4.8529153], [1713,4.5535088], [4201,4.5165706], [5320,4.5118647], [3480,4.429919], [6031,4.39707])]
[3098,WrappedArray([2160,6.1255836], [3723,5.7188025], [3379,5.6797256], [2339,5.497603], [3322,5.48304], [1417,5.4771357], [407,5.4548078], [354,5.451218], [3870,5.409903], [3373,5.368175])]
[2259,WrappedArray([5297,6.9111443], [3549,6.569806], [3915,6.455075], [606,6.447151], [2697,6.434929], [4419,6.291612], [6027,6.225381], [1070,6.218105], [1102,6.1759686], [2252,6.146532])]
[3089,WrappedArray([2640,7.6102366], [1341,6.973889], [2269,6.4679112], [2191,6.452491], [2930,6.406888], [2549,6.3538513], [3144,6.331169], [4,6.3174367], [144,6.292245], [1144,6.2853374])]
[2392,WrappedArray([1713,4.6233196], [653,4.6207943], [2364,4.598321], [572,4.521686], [153,4.420368], [75,4.4117346], [2400,4.376153], [101,4.3617573], [372,4.352362], [805,4.292101])]
[2622,WrappedArray([2640,6.4105954], [153,5.702176], [1341,5.6607065], [41,5.6148868], [527,5.5780964], [1596,5.4711075], [1277,5.470359], [4565,5.343632], [5719,5.286217], [5072,5.2617645])]
[1223,WrappedArray([1341,6.3927145], [2640,5.9369936], [3856,5.8239813], [4246,5.752706], [3144,5.7527018], [2441,5.733684], [41,5.7258587], [640,5.6540394], [642,5.639032], [5072,5.6145196])]
[2833,WrappedArray([2640,8.938575], [2441,8.61158], [1213,8.501239], [4441,8.181533], [668,7.8602953], [4745,7.6215076], [4383,7.493441], [4751,7.2288847], [41,7.138027], [3144,7.136283])]
[3913,WrappedArray([4441,16.244993], [4199,13.028077], [2441,12.281386], [418,12.237618], [4427,12.139156], [2673,11.355684], [4125,11.275945], [2560,11.093578], [41,11.035011], [668,11.016352])]
[2924,WrappedArray([2441,8.528183], [41,7.9976306], [3144,7.934348], [2930,7.897474], [4565,7.4627147], [1862,7.152288], [2763,7.1408086], [5849,7.1194253], [5628,7.0677614], [4751,7.0003233])]
[3834,WrappedArray([1083,6.7989626], [5328,6.5004525], [1394,6.2444696], [2640,6.2254605], [4383,6.133087], [3667,5.977828], [430,5.8920393], [4399,5.7960415], [878,5.603933], [4424,5.579693])]
[65,WrappedArray([2138,6.5376196], [614,5.9909825], [5328,5.6929417], [4383,5.6774817], [741,5.667434], [1327,5.6066666], [1394,5.576158], [947,5.5162187], [2879,5.479877], [430,5.388078])]
[2655,WrappedArray([4583,7.6815376], [745,7.548702], [5328,7.285741], [4056,7.1515045], [4392,7.0968356], [5052,7.0056844], [775,6.8897524], [3722,6.7043424], [860,6.685073], [3222,6.598173])]
[3425,WrappedArray([1213,7.5194893], [1416,7.1822863], [4383,7.147592], [668,6.796434], [5145,6.5895896], [2640,6.5528145], [221,6.5287714], [2560,6.349227], [364,6.3362865], [3723,6.286643])]
[2096,WrappedArray([527,7.152937], [89,6.204377], [799,6.197102], [3165,6.049712], [3723,5.89336], [3480,5.880271], [5258,5.8176694], [5199,5.7417274], [4936,5.7233014], [213,5.665665])]
[2656,WrappedArray([5328,8.753297], [2697,8.667939], [4264,8.530063], [775,7.7869005], [1864,7.7856927], [1102,7.653952], [5052,7.6311016], [606,7.581757], [6027,7.527905], [3549,7.3803105])]
[3566,WrappedArray([2640,7.119757], [2037,6.3752303], [2851,6.3020725], [4441,6.229176], [1596,6.147952], [4723,6.03199], [653,5.820525], [3144,5.7910676], [668,5.7569532], [2673,5.7285204])]
[1977,WrappedArray([1754,6.420601], [947,5.74039], [4997,5.5402184], [3911,5.382343], [4807,5.313631], [1056,5.3035374], [5328,5.2634954], [4392,5.214418], [4191,5.180547], [3009,5.17579])]
[3377,WrappedArray([1341,5.1875634], [2640,5.0275426], [3144,5.0257034], [3870,4.8730006], [2269,4.8459277], [4175,4.843551], [902,4.8407035], [1371,4.750891], [1414,4.742345], [399,4.740719])]
[458,WrappedArray([1394,8.143061], [5525,7.9820814], [5004,7.9052496], [4158,7.687231], [2640,7.5366564], [5328,7.4077673], [589,7.1433754], [1416,7.1051865], [4399,7.096799], [1914,7.0404983])]
[879,WrappedArray([5052,6.277416], [2697,6.1675396], [2364,5.954456], [2558,5.946462], [2138,5.8538804], [5783,5.8430705], [1728,5.7313223], [101,5.7067184], [5328,5.6220045], [606,5.617561])]
[2249,WrappedArray([3222,7.2000165], [5328,7.183054], [407,6.770977], [1754,6.398985], [614,6.3304763], [5160,6.2005553], [4974,6.1745706], [3009,6.1373], [3480,5.923994], [4683,5.9155374])]
[970,WrappedArray([642,9.6925], [1808,9.390656], [4880,8.981313], [1098,8.804649], [89,8.613948], [3144,8.488473], [2697,8.431703], [478,8.188695], [4565,8.104323], [5849,7.986052])]
[3790,WrappedArray([41,7.928322], [1596,7.8539815], [1277,7.7763176], [4583,7.4217215], [785,7.368429], [642,7.207154], [4056,7.205612], [640,7.140596], [189,7.1013064], [4246,7.097641])]
[481,WrappedArray([4358,6.62864], [2920,6.4721794], [5328,6.329311], [947,6.2734895], [1864,6.132084], [3915,6.080243], [4383,5.9966545], [870,5.9175243], [2037,5.9035335], [5290,5.8798833])]
[3631,WrappedArray([2441,3.090285], [2311,2.7907858], [2339,2.778779], [1596,2.7436702], [283,2.7419794], [3306,2.7409918], [356,2.7144473], [2884,2.707628], [597,2.6977143], [4068,2.6964035])]
[2802,WrappedArray([3723,5.0944867], [775,5.0647936], [1416,4.9254436], [3222,4.847172], [158,4.817241], [2339,4.758737], [4158,4.7368207], [5611,4.703455], [2297,4.703423], [283,4.6836557])]
[3042,WrappedArray([3915,6.502551], [5525,5.96969], [5328,5.6845493], [4383,5.6501], [5214,5.647925], [4419,5.498826], [2252,5.406423], [1664,5.3646264], [4703,5.312378], [1102,5.03827])]
[53,WrappedArray([1416,9.017747], [5328,8.050338], [4158,7.989887], [2640,7.9624524], [2549,7.8279324], [491,7.805703], [745,7.735985], [4424,7.597177], [3723,7.513741], [2037,7.4840183])]
[804,WrappedArray([5328,6.656914], [3222,6.553847], [653,6.5283875], [2297,6.2363696], [1754,6.1610556], [1385,6.1334386], [1307,6.132334], [775,6.1307135], [5756,6.0832605], [5052,6.0010524])]
[2914,WrappedArray([89,12.546556], [4850,11.595513], [2329,11.150888], [144,10.132917], [2884,10.017697], [5560,9.963032], [4143,9.811046], [4583,9.620634], [2821,9.219522], [3375,9.205582])]
[255,WrappedArray([2138,7.84811], [2713,7.7851863], [4504,7.7314434], [572,7.608114], [1394,6.51621], [4427,6.4549656], [2879,6.3333898], [2558,6.245286], [141,5.9985003], [650,5.8133373])]
[3105,WrappedArray([1914,6.382791], [589,6.373627], [2432,6.3388195], [2977,6.318525], [5642,6.102606], [1416,6.0266247], [4941,5.9827604], [2392,5.9776783], [1971,5.9762163], [3723,5.881981])]
[2156,WrappedArray([5258,9.785665], [3480,9.501854], [882,8.713849], [1549,8.616924], [879,8.480074], [2979,8.4781685], [41,8.354393], [1541,8.300302], [1111,8.214621], [535,8.207058])]
[2027,WrappedArray([2713,7.094822], [2373,6.934353], [2138,6.5669293], [2151,6.5574894], [4199,6.528067], [572,6.4101453], [5400,6.0103326], [5200,5.997682], [898,5.9740076], [1341,5.837492])]
[2247,WrappedArray([2640,5.6033173], [2697,5.0798674], [2502,5.06035], [2549,5.000606], [653,4.9869385], [5810,4.9555645], [3552,4.9382315], [5051,4.9068527], [2295,4.900137], [4657,4.884369])]
[588,WrappedArray([2441,6.5153103], [527,6.290027], [3480,6.123386], [3932,6.012605], [4504,5.9924045], [2755,5.8494277], [5258,5.747114], [1394,5.620812], [2432,5.606001], [1081,5.57707])]
[898,WrappedArray([2640,7.39219], [2269,6.536722], [3144,6.4800262], [1341,6.1660824], [4751,6.154273], [3870,6.1516113], [4,5.973071], [799,5.9458046], [4236,5.917375], [2253,5.881825])]
[3028,WrappedArray([2151,8.605572], [5320,8.598628], [2713,8.571604], [2640,8.012603], [144,7.879377], [1341,7.597344], [2845,7.2878714], [4672,7.285455], [5078,7.2763166], [211,7.1996727])]
[799,WrappedArray([4583,6.6358976], [640,6.5406027], [5243,6.0644197], [4056,5.935958], [4191,5.883051], [1277,5.7501597], [4912,5.659562], [2867,5.6459227], [3772,5.6210794], [5320,5.596123])]
[2559,WrappedArray([2560,8.088615], [5856,7.984669], [3784,7.812067], [448,7.80951], [4844,7.5892515], [3480,7.4419203], [2160,7.436472], [4938,7.3205886], [2884,7.1861277], [1416,7.0619793])]
[3691,WrappedArray([4427,6.4066825], [2441,6.2586627], [4441,5.652032], [4199,5.618309], [4597,5.4563212], [2879,5.4217443], [4383,5.327289], [5642,5.25622], [221,5.2088385], [418,5.2062845])]
